query	label
what are the steps to trasfer money through remitly	faq
i want to clear my dth all months automatically by paying 02031.73	txn-moneymovement
i do n't have a wife she my bitch for the night if she was catching bodies then it might be alright	invalid
cancel my credit card	txn-productclosure
how to make a one pan omelet	invalid
i need to enable my card number 9085 for overseas usage	txn-cardsettings
what is the interest rate of a savings account	faq
get to know what happening in the world	invalid
show my bike average	invalid
please let me know if you are ok with it	invalid
i need a credit card replacement	txn-productapply
are there any movie offers released on my visa card number ends with 6846 recently	qry-offersfeatures
promotion that 's hoe ya do it http://t.co/tpnmbd6z	invalid
to willa do remit bank transfer right away please	txn-moneymovement
how to make an illustrated bookmark	invalid
these hoes superweak	invalid
i want to ask the gentleman	invalid
please help me in finding cheques cleared between 08-05-2029 and 14-06-2029	qry-checktransaction-details
if i am wrong please tell me where	invalid
today at 10am bitch do your hw	invalid
life is a bitch but every dog has its day	invalid
late payment charges on my home loan number 98352741491	qry-accountenquiry
get a new hag	invalid
my dog is number 1 bae and way over these hoes	invalid
show balance amount for 0545 asap	qry-balanceenquiry
"i made a transaction of 465479.12 fiji dolar on my card number 2327 , convert it into emis"	txn-cardsettings
give all 19 transactions later 14-02-90 earlier than 06-03-2032	qry-transaction-history
give me delivery status of my debit card pin shipment	qry-statusenquiry
mortgage number 583443741 outstanding amount	qry-balanceenquiry
give my last 8 transaction for account	qry-transaction-history
stop doing that goddamn if i wanted to sign it iwould type a bunch of squiggles	invalid
why would i autopay my credit card bill	faq
sign in to see first transaction I did on visa debit card ending 4227346680	qry-transaction-history
show the calculation for education loan penalty charges	txn-sumcalculator
how am i supposed to live without you michael bolton 13	invalid
can i start again	invalid
i need to refinance my existing loan on 26-01-2018	txn-productapply
show the next amount i need to pay in instalment for a personal loan ending in ending in 50960502182	qry-balanceenquiry
tell me visa card offer list	qry-offersfeatures
jean skirt ass hoe	invalid
how much can i get at maturity	qry-balanceenquiry
it has not been active since 2008	invalid
i need to speak with alfredo necesitar hablar	invalid
support me in opening a loan against property	txn-productapply
you aint getting no hoes to come back to the room with you if you staying at circus circus bruh	invalid
you simply display your ignorance fatuorum	invalid
how did you get to the asinside site	invalid
email me the statement of card 4430	qry-transaction-history
how to add a wii controller	invalid
hoes get mad when they think you forget them	invalid
what are the eligibility criteria for certificate of deposit ?	faq
did suhayma receive the money	qry-statusenquiry
sign in for knowing opening time of your branch	qry-branchtimings
show account summary of all of my term deposit accounts	qry-accountenquiry
please help me to know the operational hours for branch in gf jaypu nj complex cd	qry-branchtimings
is there any fee for using any modes for checking savings / current account balance	faq
can you speak	smalltalk
can i get my loyalty points my card number 2228	qry-balanceenquiry
i wish to download statement for my savings account ending with 6785 for the month of october	qry-transaction-history
so something will have to give	invalid
help me apply for cd from savings account ending with 0563 with 617 uzbekistan sum	txn-productapply
i go to the toilet	invalid
view the email id linked to my current account ending with 9462860753	qry-profileenquiry
do recurrent transfer through primary account on 11-04-040	txn-moneymovement
please do credit card emi right now	txn-cardsettings
provide my last 9 fund transfer history for my checking account	qry-transaction-history
i require to use my card ending with 51330369641069 while on my vacation next week	txn-cardsettings
yall crazy hoes need jesus lol	invalid
need to give amount on 27-09-2041	txn-moneymovement
how to how to make a terrarium	invalid
i would like to know how in the world the hat truss was demo 'd	invalid
what i want to know is 1	invalid
kanye might be the first nigga to successfully save a hoe lol this a original tweet	invalid
let me know please	invalid
"it has been many days already since i applied for a cash advance , what is the status"	qry-statusenquiry
show the reward points expiry for my plastic 8850	qry-accountenquiry
i need to tell you that i require money asap	txn-moneyrequest
do you want to start a new one	invalid
how to earn reward points on maestro credit card	faq
please show me service request status	qry-statusenquiry
how to make the most of your learning style	invalid
dear michele bachman ... shut the fuck up you crazy bitch	invalid
present card ending with 5041 balance on 02-03-50	qry-balanceenquiry
from my signature account number having last four digits 9066 transfer 6182 to 302anthonia	txn-moneymovement
how to make a mini catapult	invalid
how can one explain the	invalid
what are the college work timings	qry-branchtimings
provide available balance for my premium credit card	qry-balanceenquiry
show first transaction for maestro debit card number ending with 2282	qry-transaction-history
can i be notified by the bank regarding my account balance	faq
how to know when to break up	invalid
refinance my current line of credit ending in 28167625027 for lower apr	txn-productapply
i would like to enable my credit card ending with 0717349260892 for overseas use	txn-cardsettings
3 4 of a citizen i said it for you maria you spic	invalid
im going to kill you i just want you to know that	invalid
are you looking for a new destination for your customers to explore	invalid
help me find the fees cum charges pertaining to my credit card	qry-accountenquiry
apply for cheque book for savings account end with 3318	txn-issuechequendd
how to use concealer	invalid
i need to check when did i transfer amount from my savings account number ending with 33257486109 to saura	qry-checktransaction-details
this girl is retarded	invalid
show account loyalty points summary of account associated with my cards as of now	qry-balanceenquiry
want to know how to get in the spirit of ramadan and fasting	invalid
get me my remaining balance for current account 0939	qry-balanceenquiry
i got something for your ass keep thinking i 'm pussy	invalid
tell me the 7 transactions 164284-1077060 inr	qry-transaction-history
will i be able to do all the stuff	invalid
how to create a screencast	invalid
please pay for the due amount on my gold credit card number 690178855112727 on 15-06-25	txn-moneymovement
get a big binder	invalid
can i speak to an agent	qry-talktoagent
i need some new hoes	invalid
how to remove recessed lighting	invalid
what if i tell y 'all i 'm trying to turn up for bayou classic drinker bitch you got the id	invalid
she feelin a young niggah	invalid
lol that caitlyn .. ca n't carry 3 retards	invalid
i wish to take 930121 from savings account with last digits 19-07-2060	txn-moneyrequest
i need to recharge for 73 netherlands antillean guilder	txn-recharge
you just have to go to the right sources	invalid
i have to know branch closing hours	qry-branchtimings
what information will i get by viewing funds transfer details	faq
how to use a wine decanter	invalid
wanted to eat her pussy from the back but she 's sleep ... smh	invalid
assist me in waiving off the interest charges on my credit card	txn-productsettings
help me track my atm pin	qry-statusenquiry
i want to make my gas bill payment right now for consumer number 517733541	txn-moneymovement
show food expenses on visa card ends 2806	qry-transaction-spend
I wish to find how much is due on my current payment plan	qry-balanceenquiry
can you show the number of cards registered with my account	qry-accountenquiry
login to reissue pin for me	txn-pinsettings
where are the jews	invalid
show the next amount i need to pay in instalment for a loan account ending in ending in 090040	qry-balanceenquiry
i am not vandalizing your talk page you stupid bitch you must have some other enemies now do yourself a favor and fuck off	invalid
i want to find renewal date pertaining to my cd	qry-accountenquiry
how to make an avocado and banana scrub	invalid
i need to retrieve password for my account	txn-pinsettings
how to find jail inmates	invalid
throwing fire crackers at cars that shit is funny as fuck	invalid
what should i do if i am not able to deactivate auto bill payment on credit card	faq
what type of eye make-up do redneck women use nascara	invalid
prefer to log in for the bill payment	txn-moneymovement
i request you to allow me to shop more with my card	txn-cardsettings
hey there	smalltalk
increase credit card ending 8940 limit	txn-cardsettings
can you amount transfer right now	txn-moneymovement
cuz bitches love pizza http://t.co/0tkum7lh1f	invalid
how do i get out of here	invalid
my car loan number	qry-accountenquiry
restored ought to be this article ought to be restored to the original version of years the one we had before the p rverts and kikes took over	invalid
i want to send fund to 5404	txn-moneymovement
i want to be creating my credit card pin	txn-pinsettings
do u own wikipedia was believing wikipedia was an open source didnt know people like jeff g and bg fucking white own it	invalid
how to make treacle tart	invalid
i do n't know if i have got the spelling right	invalid
are you kidding me are you people completely stupid or what	invalid
i wish to turn on estatement	txn-update-statement
blah blah blah you 've been blocked because people are sensitive pussies who get hurt easily ..	invalid
i would like to settle bill via mobile ending in +917442578875	txn-moneymovement
would you show me how much did i get as salary	qry-checktransaction-details
you do not want to permanatly damage yourself	invalid
please show credit card upgrade status as of now	qry-statusenquiry
i like to revise my registered phone number	txn-accountsettings
ur a boss ass bitch	invalid
how to make a bracelet using beads	invalid
would you like to know why	invalid
want to change my communication details	txn-accountsettings
i would want to know nominee	qry-accountenquiry
is made from many colors	invalid
hey stay the fuck out of my buisness you jewish redneck mexican fucker i kill you fucker stay the fuck out of my buisness	invalid
please stop function of my credit card for a period of time	txn-productclosure
how do i log into spire's mobile app?	faq
i want to see usain bolt beat	invalid
lmfaoooooo gay as fuck get these two faggots off my tl http://t.co/okummsjeyi	invalid
it has been retired	invalid
how would i get to rome	invalid
give 1 transactions electronic statement done by 02-11-03	qry-transaction-history
whoever is the next person to write on this page has admitted to having aids and fellates aids monkeys non-stop	invalid
how do you know a stimulus is malevolent	invalid
want to apply savings account check book with 558 leaves	txn-issuechequendd
is it possible for you to increase your iq test scores	invalid
value of principal for my home loan ending with 6608800900	qry-balanceenquiry
when did i pay for my deposit certificate	qry-checktransaction-details
can you find the exchange rate for united states to australia	qry-exchangecurrency
how am i doing	invalid
how to do bmx tricks	invalid
show how penalty fee for mortgage is calculated	txn-sumcalculator
i 'm gonna tell my friend not to buy your scuf now dumb chink frail pussy	invalid
you do not need to remove the tank to change the fill valve or the handle	invalid
terminate the overseas usage on my credit card	txn-productclosure
want to get a gf on habbo	invalid
how to keep a calendar	invalid
elaborate the process to apply for car loan	faq
she like imma stop talking to you because you vibing in them headphones talk to me and come get this pussy in other words	invalid
by activating this option other users will be able to see what players you picked	invalid
apply new debit card	txn-productapply
u know how hispanics be takin all the jobs these niggers won 't yeah somethin like a hispanic	invalid
please note that i had lost my silver 3917 want to discontinue that now	txn-productclosure
how to make a 7 up slush	invalid
there is a need to remove an internet service provider from auto bill payment from current account	txn-updateautopay
convert rewards points on maestro debit card number ending 6998 into voucher	txn-redeemrewardpoints
i need help to get the list of billers	qry-viewrecipient
show domestic limit for master card ends with 3364574392476051	qry-balanceenquiry
where can i check my b.tech results may 2008 of bharath university	invalid
go to find out	invalid
where can i find this out	invalid
i have got to do give money to tosca	txn-moneymovement
nazis anyone who believes that jews should be kicked out of their native homeland is a nazi propagandist	invalid
tell me did i pay my electricity bill	qry-checktransaction-details
download amortization statement for the loan account ending with 7281676	qry-transaction-history
fetch the outstanding balance for my corporate card with last four digits as 7185	qry-balanceenquiry
i do not have money to make payment now	txn-productsettings
why the change here	invalid
pretty sure they farted on the monster until it pooped it 's face off and vomited an assload of fuck	invalid
until then i 'm relying on youtube to help me get started	invalid
how to make a frozen bagel taste freshly baked	invalid
give me 19 transactions electronic statement which includes 57.99	qry-transaction-history
will you allow instalment payment option on the ikea transaction on my card that ends with 1485424207	txn-cardsettings
harvard sucks talk	invalid
how to make a farewell speech	invalid
how to prevent lyme disease	invalid
it is no longer possible to make a new epa	invalid
how to use an array class in javascript	invalid
i want to get it tattooed down my arm	invalid
i wish to check the operational hours	qry-branchtimings
i think most men cheat because they 're addicted to that new pussy smell	invalid
show late charges for maestro card ending with 5203	qry-checktransaction-details
i want a physical debit card	txn-productapply
i dont give a fuck what my ex is doing ... bitch is n't my problem anymore	invalid
assist me to log out	txn-logout
i am trying to amend my communication information	txn-accountsettings
how much rupees can i take using debit card from atm	qry-balanceenquiry
i wish to update office phone	txn-accountsettings
how to use a charcoal smoker	invalid
lets clear the bill for water for 05-05-2086 to 29-04-2077	txn-moneymovement
show the calculation of loan penalty charges	txn-sumcalculator
show my fixed deposit principal amount	qry-balanceenquiry
i need to start a payday advance account on 16-03-2015	txn-productapply
add my brother as joint account holder	txn-adddeletebeneficiary
i plan to refinance my credit line on 13-01-2017	txn-productapply
nobody wants to be with a bum except bum bitches	invalid
i wish to open fixed deposit from account ending 055900017482140 with dollars 889795	txn-productapply
wish i was able to find out	invalid
transfer inr 20 on sunday to mitansh	txn-moneymovement
i would want to do transfer every week once	txn-moneymovement
please show me my cheque status	qry-statusenquiry
will i get a notification on my number with every account transaction	faq
gay ha i thought the same thing he might be this made my day hahaha tlk e-m 05 22 20 2005 09 11 utc this user is homophobic	invalid
how do i know that it is so	invalid
i want your help to enquire the expenditure in honduran lempira 931.67 anywhere from 02-10-021 to 15-10-2042	qry-transaction-spend
please give 456 as my part of dinner to marisa614	txn-moneymovement
"help me reach out to your customer care team , ivo this side"	qry-talktoagent
login to remove vodafone	txn-adddeletebeneficiary
fat hoes need a treadmill lol hmu therealwesjames	invalid
help me modify information of my account	txn-accountsettings
the wnba superstars can suck pussy while on top of da world but when they stop playing da thousands r gone they sett	invalid
z	invalid
i would want a locker	txn-applylocker
want to make a film about an issue	invalid
"for my car loan number 38160157455 , what was the total disbursed amount"	qry-balanceenquiry
login to activate international withdrawal on my master card number ending with 3201	txn-cardsettings
i would like to know timings of my branch	qry-branchtimings
display how overdue amount has been calculated for business loan	txn-sumcalculator
i want to deactivate alerts for transactions on whatsapp with last digits as 05784149344	txn-accountsettings
have a good laugh	invalid
jk i would be a bitch if i got them done	invalid
let me know the calculation for home loan penalty fee	txn-sumcalculator
show me the 5 latest transactions made by me	qry-transaction-history
while the men will often be rambling and retarded the women will appear trashy and tipsy lawless and lustful http://t.co/a5	invalid
fuck a bitch flip a brick	invalid
i require to view the student loan overdue calculation	txn-sumcalculator
i seek assistance to know the expenditure in philippine peso 51457.83 anywhere from 14-04-2080 to 18-03-2073	qry-transaction-spend
branch functional hours on 26-11-2020	qry-branchtimings
i wish to know whether my funds transfer transaction to checking checking account number 7645836934806 was executed	qry-statusenquiry
please help me to re dispatch pin	qry-servicerequest
how much did i use on my debit card 20-08-2080 to 31-02-2008	qry-transaction-spend
how to make a papier mâché dustbin	invalid
why do you love cock stop taking down my vandalism you fucking nigger loving faggot	invalid
i wish to set a new debit card pin for a card associated with my savings account	txn-pinsettings
hi am ahs i like this anime sow how ever thasent well well they can go to hell	invalid
deactivate international usage for my american express credit card number ends with 2277	txn-productclosure
cockbag you herad me gaylord	invalid
i wish to download mini statement for my checking account in pdf format right now	qry-transaction-history
it has been a joy	invalid
what would you like to say	invalid
what are the ways to close an ira	faq
hahaha awe yea got a date with the baddest bitch around	invalid
when did i make a transaction of 9330793 from my savings account	qry-checktransaction-details
big wang sometimes i prefer to insert a phallus into my rectum do you think we could do this together wangbot 1.2	invalid
i need to pre-close my loan	txn-productclosure
where 'd you go big mouth bitch busy choking on that cock i told you to find	invalid
a bitch like you need to get fucked right every night	invalid
i need to change the details of nominee for my primary account	txn-accountsettings
enlist all registered payees for my savings account	qry-viewrecipient
please help me to view kolhapur atm ii branch details	qry-atmbranchlocator
add 219184.38 rupee to the balance of my personal number +91-5673367819 idea	txn-recharge
i second that superracist shit as if black have n't created a thing evthing has been created by white with no a reference btw	invalid
i want to send this song to norway	invalid
how to start a clique in seventh grade	invalid
please register for email alerts	txn-accountsettings
the article clearly sucks	invalid
where do i have to click	invalid
please send mini statement for my checking account in xlsx format right now	qry-transaction-history
i want to know how is the community also i want to know how is job employment in this area	invalid
how to make a black cherry martini	invalid
can you tell me how to subscribe to your blog	invalid
in distance of 406 mts show all the branch	qry-atmbranchlocator
please help me find the annual percentage yield of term deposit ending in 53287	qry-accountenquiry
counting money while my bitches sleep	invalid
please help me find ipin for a current account number 3844 today	txn-pinsettings
how to put a quote in an essay	invalid
show all my debit cards	qry-accountenquiry
login to request 3720 from father	txn-moneyrequest
i want you to display the list of transactions made on savings account number 176053054	qry-transaction-history
can you show me the nominee list for my savings savings account	qry-accountenquiry
i want to view the email id linked to my current account number 533970820	qry-profileenquiry
granted cracker is n't that bad because when you say that to a white person your saying their one of the slave	invalid
prefer to know my base branch details	qry-accountenquiry
give the list of branches in 554 km	qry-atmbranchlocator
convert my credit card to a higher grade card with better features now	txn-cardsettings
you disgust me you sicken me with your extremist fascism censorship	invalid
"my credit card has very few features , please upgrade it now"	txn-cardsettings
how to buy drum heads	invalid
i want to do transfer weekly for 13 counts	txn-moneymovement
for platinum account 1778 remaining balance	qry-balanceenquiry
login to modify telephone number for my bank account for my primary account number 4590	txn-accountsettings
transfer fund please	txn-moneymovement
i require to check the mortgage overdue calculation	txn-sumcalculator
to munch pussy and not know how to spell good in english because i am fucking foreigner for who with which english is the hard language i am dyke	invalid
how to make a myspace contact box	invalid
show reward points for maestro card number ending at 8692	qry-balanceenquiry
will you please send me my transaction history at sdds@asd.co right away	qry-transaction-history
well duh i mean its gay who cares about his sexuality penis penis penis i cannot be silenced	invalid
all them bitches far as fuck from us we got el gran pollo up this way and it serves us well	invalid
look is it a bird is it a plane nope just more evidence that p.s. david they accused you of being a meatpuppet of yourself ha	invalid
requesting you to help me in making credit card number 362054 bills payment in 166 parts	txn-cardsettings
present account balance on 05-06-2060	qry-balanceenquiry
i wanted to keep the center open	invalid
i need to tell you that i require money now	txn-moneyrequest
a female will automatically assume you have hoes if she finds you attractive	invalid
lmao okay now lets address pepsi pussy real niggas know http://t.co/ipedbpbjm5	invalid
can you please let me know how to do it	invalid
fuck off you cunt you 're suck an asshole 142.162.85.154	invalid
violet needs service to get texts from hoes http://t.co/k3bzbnyw5h	invalid
how to raise butterflies	invalid
sign in for looking at hours of operation of your branch	qry-branchtimings
i learned that every bad bitch comes wit mood swings just like mortal kombat liu kang so true mane	invalid
how to make a candy wrapper collage	invalid
please help me to know the operational hours for chander ngr	qry-branchtimings
reward point redemption needed from my current account number ending 1905	txn-redeemrewardpoints
take a request for 826411 from 623metje on a later date of 03-04-2077	txn-moneyrequest
i require to open car loan	txn-productapply
in the first example	invalid
it is related to the atlantic goliath grouper	invalid
i woke up in a bed full of bitches that i ai n't even fuckin	invalid
show me the number of emis scheduled for my car loan	qry-accountenquiry
how to add bikini accessories	invalid
i swear to god i hit 40 licks i 'm lil b and i 'm not no bitch when i 'm off that dope i rob my bitch	invalid
same hoes with they ass out tonight gonna be singing jesus loves me in the morning	invalid
assist me with recharging my sister's mobile	txn-recharge
apply for prepaid card	txn-productapply
apply a cheque book	txn-issuechequendd
i wish to set up statements for debit card ending with 1969	txn-update-statement
how to use minitab	invalid
lol suck my dick bitch ;)	invalid
enlist account reward points summary as of now	qry-balanceenquiry
i need to activate transaction alerts for a credit card	txn-accountsettings
if you have any more specific questions please let me know	invalid
why do i do	invalid
you love anime there are some animes out there that suck you idiot 68.84.225.186	invalid
how to make a champagne cocktail	invalid
jme	invalid
a dippy lunatic like	invalid
support me in looking at payments made at costco.com	qry-transaction-history
what are the channels of activating sms alerts for credit card transactions	faq
i seek help in opening an instalment loan account again	txn-productapply
get home loan emi	txn-productapply
hey olyeller fuck off	invalid
do i want to talk about change or do i want to create change	invalid
how to make a green tea toner	invalid
what do you mean by bill payment	faq
send outstanding balance of credit card ending 27332	qry-balanceenquiry
the rules seemed to change during the event	invalid
please help me to redispatch phone banking pin	qry-servicerequest
please find the enclosure	invalid
what a fag	invalid
convert transaction to instalment for visa credit card ending at 2711642602391	txn-cardsettings
how to get a rotom egg	invalid
assist me to pay bill via mobile with last digits as 2160513237	txn-moneymovement
how to make a tequila popper	invalid
bird fucking	invalid
i am trying to check did my salary credited right now	qry-checktransaction-details
manage cash withdrawal limit of visa card ends with 3787	txn-cardsettings
how much i feel	invalid
teach them how to use a nerf gun	invalid
how to get in the police force	invalid
sign in to see last transaction made on visa debit card number ending with 2677	qry-transaction-history
fetch me details of how much i owe now	qry-balanceenquiry
why was the request for internet banking deactivation denied	faq
how to use figment	invalid
i would like to check the bill of my card number 8020	qry-balanceenquiry
i want to sign in request a transfer of branch for my savings account	txn-accountupdate
i need to revise my will	invalid
assistance required for applying for two wheeler loan	txn-productapply
to join you need to have a blog	invalid
i have added a lot more pictures here	invalid
oi wanka ... get a life	invalid
what is the purchase limit on my debit card	qry-balanceenquiry
i need a check book with 559 leaves	txn-issuechequendd
schedule periodic transfer of rs 6.18 using my gold account number ending with 8740	txn-moneymovement
please pay my videocon 539778163696 with current 444161.34 rupees	txn-moneymovement
how to buy natural supplements	invalid
is it possible to add new ...	invalid
how to prevent soggy cereal	invalid
want to re dispatch internet banking pin delivery	qry-servicerequest
u call ur bestie a bitch i 'm guessing she 's a dog that barks too much	invalid
i need a agriculture loan urgently from your bank	txn-productapply
tl blew up hoes on waka dick turndown he ai n't follin y 'all hoes bow	invalid
it 's hilarious seeing chicks cry and whine through song lyrics on here because they got with a little scene fag instead of a real man	invalid
kindly note that account transactions failed assist me	txn-dispute
i will need to to reset a quick login pin that i lost for an account with last digits 052091595	txn-pinsettings
may be unable to change positions without help	invalid
an enraged 6 4 290 lb mike brown lethal weapon on legs his hatred 4 the police whitey added fuel 2 his arsenal	invalid
how to make a minature japanese garden	invalid
touchdown hoe ... touchdown hoe	invalid
re vanadlism all i get from you are lies lies	invalid
how to know if your cat is dying	invalid
when to use the triple tongue technique	invalid
how to get to karamja in runescape	invalid
how to make a cake using a pressure cooker	invalid
need to register pick up request for a cheque	qry-servicerequest
how to make a banana facial mask	invalid
haha you were that bitch on our team	invalid
fetch first 8 payment history between 702275-886634 rupees	qry-transaction-history
i wish to revise my quick sign in pin for my card ending with 7762	txn-pinsettings
i wish to set up statement for debit card ending with 8366 asap	txn-update-statement
do you give blowjob discounts to wikipedia members	invalid
let me know how that works out ...	invalid
show my rewards of an account number 776462362991 on my whatsapp ending in 00236780829	qry-balanceenquiry
how to make a peanut butter log for birds	invalid
fuck you you 're a stupid bitch 142.162.85.154	invalid
login to activate international withdrawal for master credit card number 1516	txn-cardsettings
reactivate debit card	txn-cardsettings
i want to know the percentage of interest charged on my credit card	qry-accountenquiry
i want to discontinue overseas usage of my card	txn-productclosure
he knows game he 's just gonna make it as small of a loss as possible she was 1 of don juan hoes off jump http://t	invalid
assist me to pay bill via mobile ending in 2633154494	txn-moneymovement
tag me pussy ill fite u	invalid
please check in my 10 transactions that my salary is credited on for savings account ending with 3990	qry-transaction-history
i would wish to do transfer fortnight thrice	txn-moneymovement
ppl who think webbie betta then boosie jus retarded	invalid
i would like to know recent card offers for chinese new year in singapore	qry-offersfeatures
i require to do fund transfer to shachina 7.93 inr now	txn-moneymovement
show my overdraft account balance for which last for digits are 3165	qry-balanceenquiry
take me to accounts	qry-accountenquiry
i want to know the pos limit of my card	qry-balanceenquiry
report of lost credit card ending with 5203	txn-dispute
installment conversion asap	txn-cardsettings
show me the finance charges on my instalment loan number ending with 901465954	qry-accountenquiry
i seek assistance for opening a two-wheeler loan	txn-productapply
required to update the email associated with my primary card	txn-accountsettings
you 're not right for this job what why well your rsum is just do n't be a bitch dude written on a napkin do n't b	invalid
i seek assistance for opening a loan against property	txn-productapply
i would like to say i pushed ...	invalid
get balance from another checking account	qry-balanceenquiry
i want to give 888080 rs. to my biller for bsnl from gold account number 3299	txn-moneymovement
will the fee charged in case of recurring deposit be debited directly from my account	faq
login to get money now	txn-moneyrequest
please deactivate international usages now	txn-productclosure
stupid bitches fucking skanks dumb hoes	invalid
can any issue pertaining to payment of loan emi be resolved online	faq
requesting you to help me to fix the transaction limit on a credit card to 9.79 asap	txn-cardsettings
i want to take money mose for 367	txn-moneyrequest
i need help in checking fees and charges for my credit card	qry-accountenquiry
hello would it be possible to make use of this great write-up on my site	invalid
eat shit horse face you re a tool that doesn t even deserve the tool fucker	invalid
prefer to check account name	qry-accountenquiry
co ck pen-i.s. international	invalid
tell me can you move to bram 5164	txn-moneymovement
in the previous	invalid
fuck u gwernol are u even from sefton	invalid
how to make a samurai sword	invalid
give me what i want	invalid
it has not been completely excavated	invalid
i will need cheque book urgently	txn-issuechequendd
can you assist me to check the list of all billers	qry-viewrecipient
i do n't love these hoes baby it 's me and you forever	invalid
take a note that i require assistance to wire money worth 982 to fanishwara immediately	txn-moneymovement
how am i supposed to live without you	invalid
move money on 05-10-2060	txn-moneymovement
how to make anchovy pizza	invalid
recharge tata sky number 488696271781 with 9330793 rupee	txn-recharge
what is the clarkston branch hour	qry-branchtimings
do you need to know how to prevent glass bakeware from braking	invalid
you need to register here	invalid
please apply for a locker for savings account	txn-applylocker
personal attacks what the hell you talking about where quote me	invalid
provide all 1 payment history 31-09-2014	qry-transaction-history
could you give me a few ideas	invalid
reissue master credit card pin	txn-pinsettings
please help me out with closing my fixed deposit for savings with last digits 2000	txn-productclosure
i want to be logged in	txn-login
i 'm cute with or without the makeup eyelashes y 'all bitches depend on that shit	invalid
i would like to initiate transfer of funds 16-01-2047 from my current account	txn-moneymovement
how to find a font character in windows 8	invalid
help me to schedule funds transfer on 10-12-2053	txn-moneymovement
need you assistance to update driving licence details	txn-accountsettings
how long does it take to rip a 2-hour blu-ray to iphone 4	invalid
i wont get catfished anymore tho bc im no longer trying to stick myy pp into twitter hoes	invalid
i would like to know more about latest trends and developoment in blogging especially innovative ones	invalid
will i get notification once joint account holder addition is done	faq
how to buy surplus inventory	invalid
i require you to show consolidated charges that have been levied	qry-checktransaction-details
how to make a white lady cocktail	invalid
man you are really a dishonest person disgusting	invalid
login to block amex card temporarily	txn-productclosure
bc i got too many bitches	invalid
wish to redispatch pin	qry-servicerequest
how to stop a horse from chewing wood	invalid
even dogs act as lion in there own area sitush you are misusing ur administrator power on this page	invalid
bitch otherfucker that gotta write some dumb ass shit to me	invalid
i need help to view if i have transferred rent	qry-checktransaction-details
how to make a light galce fruit cake	invalid
how to make a chinese paper lantern	invalid
show me all the new offers related to travel on my visa card number ends with 8881	qry-offersfeatures
i would like to find out how to say welcome in as many languages and cultures as possible	invalid
add balance of my 126394498 of 4840 rupees using my checking account 3575037106	txn-recharge
how to make a cats costume	invalid
kindly do convert emi	txn-cardsettings
please show unutilised cheque leafs	qry-statusenquiry
how to change a computer 's desktop wallpaper	invalid
i need to know more about this great stuff	invalid
give me the summary of share certificate ending with 1720	qry-accountenquiry
wow i 'm like really scared do your worst ha ha 68.45.180.34	invalid
i just said that my tl gotta chill with this pretty face challenge foolishness y 'all hoes agg	invalid
do let me know is there any penalty to the payment overdue	qry-balanceenquiry
note that i wish to know my account sms charge per month right now	qry-accountenquiry
requesting you to tell me number of remaining cheque leafs for current account number 6147	qry-statusenquiry
reminder for bill payment needs to be set	txn-setreminder
transaction made through my card for 602.71 at shell petrol pump looks illegitimate	txn-dispute
will you be able to provide history of the savings account	qry-transaction-history
